"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
10	"nm"	1	2	"E2"	32	"NM_g66_pop2_rep1"	"E2"	0.9286	0.00643	1.0337	0.02671	0.1344	0.00448	6.5477	0.13956	0.0287	2.028	0	67
30	"nm"	1	2	"E3"	33	"NM_g200_pop2_rep1"	"E3"	0.9144	0.01419	0.8134	0.02109	0.1229	0.01043	5.0634	0.33093	0.0571	4.033	0	200
50	"nm"	1	2	"E4"	34	"NM_g333_pop2_rep1"	"E4"	0.9524	0.01103	0.7341	0.01437	0.1547	0.01095	6.4973	0.23948	0.0513	3.678	0	333
80	"nm"	1	2	"E5"	35	"NM_g533_pop2_rep1"	"E5"	0.903	0.01436	0.7892	0.0216	0.1175	0.01049	4.9837	0.34799	0.0574	4.129	0	533
120	"nm"	1	2	"E6"	36	"NM_g799_pop2_rep1"	"E6"	0.9176	0.01735	0.7004	0.02411	0.1251	0.01628	5.1816	0.44827	0.0697	5.115	0	799
160	"nm"	1	2	"E7"	37	"NM_g1065_pop2_rep1"	"E7"	0.9349	0.01092	0.6379	0.0133	0.1886	0.01665	6.1509	0.22126	0.0503	3.728	0	1065
220	"nm"	1	2	"E8"	38	"NM_g1464_pop2_rep1"	"E8"	0.9251	0.00782	0.7529	0.01037	0.17	0.0092	6.9146	0.16395	0.0382	2.784	0	1464
260	"nm"	1	2	"E9"	39	"NM_g1731_pop2_rep1"	"E9"	0.9583	0.01034	0.7601	0.01349	0.1612	0.01096	6.4761	0.23169	0.0466	3.29	0	1731
300	"nm"	1	2	"E10"	40	"NM_g1997_pop2_rep1"	"E10"	0.9322	0.00849	0.7086	0.01056	0.1892	0.01139	6.3182	0.16135	0.0399	2.886	0	1997
10	"nm"	2	2	"F2"	41	"NM_g66_pop2_rep2"	"F2"	0.9297	0.0074	0.8648	0.0228	0.1334	0.00674	7.1033	0.19049	0.0345	2.543	0	67
30	"nm"	2	2	"F3"	42	"NM_g200_pop2_rep2"	"F3"	0.9196	0.01356	0.7961	0.01968	0.1248	0.01031	5.1157	0.31706	0.0547	3.87	0	200
50	"nm"	2	2	"F4"	43	"NM_g333_pop2_rep2"	"F4"	0.9517	0.01173	0.6985	0.01498	0.1615	0.01293	6.7246	0.25837	0.0555	4.044	0	333
80	"nm"	2	2	"F5"	44	"NM_g533_pop2_rep2"	"F5"	0.908	0.01486	0.7762	0.0221	0.1115	0.00981	4.6367	0.36605	0.0561	4.019	0	533
120	"nm"	2	2	"F6"	45	"NM_g799_pop2_rep2"	"F6"	0.9224	0.01747	0.7074	0.02631	0.1078	0.01371	4.8055	0.49323	0.066	4.824	0	799
160	"nm"	2	2	"F7"	46	"NM_g1065_pop2_rep2"	"F7"	0.9591	0.00969	0.6351	0.01231	0.146	0.01117	6.2116	0.23933	0.0434	3.205	0	1065
220	"nm"	2	2	"F8"	47	"NM_g1464_pop2_rep2"	"F8"	0.9325	0.00839	0.7637	0.01104	0.1642	0.00896	6.5425	0.17398	0.0396	2.84	0	1464
260	"nm"	2	2	"F9"	48	"NM_g1731_pop2_rep2"	"F9"	0.9483	0.01099	0.7837	0.01396	0.1754	0.01181	6.2325	0.21906	0.0495	3.447	0	1731
300	"nm"	2	2	"F10"	49	"NM_g1997_pop2_rep2"	"F10"	0.9362	0.00701	0.7301	0.00926	0.1649	0.00804	6.9132	0.14901	0.0343	2.507	0	1997
10	"nm"	3	2	"G2"	50	"NM_g66_pop2_rep3"	"G2"	0.9371	0.00647	0.8608	0.02819	0.1144	0.00471	6.4286	0.16899	0.0283	2.107	0	67
30	"nm"	3	2	"G3"	51	"NM_g200_pop2_rep3"	"G3"	0.9422	0.01767	0.8301	0.02401	0.1582	0.01806	5.2301	0.36729	0.0725	4.908	0	200
50	"nm"	3	2	"G4"	52	"NM_g333_pop2_rep3"	"G4"	0.9644	0.01138	0.6979	0.01432	0.1701	0.01326	6.5885	0.23937	0.0536	3.846	0	333
80	"nm"	3	2	"G5"	53	"NM_g533_pop2_rep3"	"G5"	0.9234	0.01702	0.785	0.02546	0.1078	0.01026	4.364	0.41658	0.0615	4.336	0	533
120	"nm"	3	2	"G6"	54	"NM_g799_pop2_rep3"	"G6"	0.9534	0.01466	0.6554	0.01775	0.1674	0.01857	5.1494	0.30647	0.06	4.293	0	799
160	"nm"	3	2	"G7"	55	"NM_g1065_pop2_rep3"	"G7"	0.9489	0.01068	0.631	0.0128	0.1658	0.01283	5.5366	0.22273	0.0457	3.341	0	1065
220	"nm"	3	2	"G8"	56	"NM_g1464_pop2_rep3"	"G8"	0.9432	0.00894	0.779	0.0118	0.1484	0.00794	5.7191	0.18578	0.0389	2.725	0	1464
260	"nm"	3	2	"G9"	57	"NM_g1731_pop2_rep3"	"G9"	0.95	0.00718	0.7464	0.00969	0.1355	0.00599	5.9654	0.1619	0.0319	2.274	0	1731
300	"nm"	3	2	"G10"	58	"NM_g1997_pop2_rep3"	"G10"	0.9464	0.00764	0.9231	0.02561	0.1499	0.00626	5.0153	0.14713	0.0298	2.051	0	1997
0	"nm"	1	3	"B2"	2	"NM_g0_pop3_rep1"	"B2"	0.943	0.00542	0.821	0.00825	0.1259	0.00391	6.6575	0.12984	0.0253	1.808	0	0
20	"nm"	1	3	"B3"	3	"NM_g133_pop3_rep1"	"B3"	0.9165	0.00853	0.804	0.01258	0.1108	0.00485	5.0622	0.19449	0.0347	2.476	1	133
40	"nm"	1	3	"B4"	4	"NM_g266_pop3_rep1"	"B4"	0.9233	0.01019	0.7534	0.01438	0.1457	0.01067	6.7239	0.24108	0.0485	3.562	1	266
60	"nm"	1	3	"B5"	5	"NM_g399_pop3_rep1"	"B5"	0.9243	0.00357	0.8018	0.01598	0.1162	0.00298	6.2946	0.09287	0.0159	1.343	0	399
100	"nm"	1	3	"B6"	6	"NM_g666_pop3_rep1"	"B6"	0.9336	0.00558	0.7901	0.00837	0.1488	0.00563	8.0189	0.13054	0.0294	2.182	0	666
140	"nm"	1	3	"B7"	7	"NM_g932_pop3_rep1"	"B7"	0.9451	0.00731	0.7683	0.01	0.1163	0.00436	5.0636	0.1642	0.0293	2.064	1	932
200	"nm"	1	3	"B8"	8	"NM_g1331_pop3_rep1"	"B8"	0.9305	0.00605	0.7623	0.00868	0.1385	0.00549	6.9679	0.14019	0.0296	2.178	0	1331
